index,specification
874,asus intel core i5 11th gen windows 10 home 512 gb 8 14 19000000
875,asus windows 10 home 256 gb 8 15.6 14000000
876,asus intel core i3 11th gen windows 10 home 512 gb 8 14 8000000
877,asus windows 10 home 512 gb 8 15.6 9000000
878,acer intel octa core i7 10th gen windows 10 home 256 gb 16 15.6 19000000
879,dell intel core i3 10th gen windows 10 home 8 gb 15.6 8000000
880,asus intel core i5 11th gen windows 10 home 512 gb 8 13.3 15000000
881,lenovo intel core i3 11th gen windows 10 home 256 gb 4 15.6 8000000
882,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 12000000
883,lenovo intel core i7 11th gen windows 11 home 1 tb 16 gb 13.3 23000000
884,hp chrome 4 gb 11.6 3000000
885,acer windows 10 home 256 gb 16 15.6 18000000
886,dell intel core i5 11th gen windows 10 home 8 gb 14 11000000
887,lenovo intel core i5 10th gen windows 10 home 256 gb 8 14 11000000
888,lenovo intel core i9 10th gen windows 10 1 tb 16 gb 15.6 50000000
889,hp intel core i3 11th gen windows 10 home 256 gb 8 15.6 8000000
890,lenovo intel core i5 7th gen windows 10 home 4 gb 14 10000000
891,lenovo windows 10 home 512 gb 16 13.3 15000000
892,lenovo intel core i7 11th gen windows 10 home 512 gb 16 14 15000000
893,msi intel core i5 10th gen windows 10 home 512 gb 8 14 10000000
894,hp intel core i3 11th gen windows 10 home 8 gb 15.6 8000000
895,hp intel core i3 11th gen windows 10 home 256 gb 8 14 7000000
896,asus windows 10 home 256 gb 4 15.6 6000000
897,lenovo windows 10 home 512 gb 8 15.6 15000000
898,asus intel core i5 10th gen windows 10 home 512 gb 16 15.6 15000000
899,hp intel core i3 11th gen windows 10 home 512 gb 8 15.6 8000000
900,hp intel core i5 11th gen windows 10 home 512 gb 16 14 14000000
901,hp intel core i5 11th gen windows 10 home 512 gb 8 15.6 11000000
902,hp intel core i3 11th gen windows 10 home 512 gb 8 15.6 9000000
903,hp intel core i5 11th gen windows 10 home 512 gb 8 15.6 11000000
904,lenovo intel core i3 11th gen windows 10 home 512 gb 8 14 11000000
905,lenovo intel core i3 11th gen windows 10 home 512 gb 8 14 10000000
906,apple mac os big sur 512 gb 8 13.3 19000000
907,acer windows 10 home 512 gb 8 15.6 10000000
908,lenovo intel core i3 11th gen windows 11 home 256 gb 8 14 9000000
909,hp intel core i3 11th gen windows 10 home 512 gb 8 14 10000000
910,lenovo intel core i5 10th gen windows 10 home 256 gb 8 15.6 11000000
911,lenovo intel core i7 11th gen windows 10 home 1 tb 16 gb 14 32000000
912,hp intel core i5 11th gen windows 10 pro 512 gb 8 13.3 17000000
913,dell intel core i3 10th gen windows 10 home 8 gb 8000000
914,lenovo intel core i7 11th gen windows 10 home 512 gb 16 14 19000000
915,lenovo intel core i5 9th gen windows 10 home 256 gb 8 15.6 12000000
916,dell intel core i5 11th gen windows 10 home 8 gb 14 9000000
917,dell intel core i3 10th gen windows 10 home 256 gb 4 15 7000000
918,dell intel core i3 10th gen windows 10 home 256 gb 8 14 7000000
919,mi intel core i7 10th gen windows 10 home 512 gb 8 14 11000000
920,asus intel core i5 10th gen windows 10 home 512 gb 8 15.6 12000000
921,hp intel core i5 11th gen windows 10 home 8 gb 15.6 10000000
922,hp intel core i3 11th gen windows 10 home 256 gb 8 14 10000000
923,dell intel core i3 10th gen windows 10 home 8 gb 14 7000000
924,hp windows 10 home 256 gb 8 15.6 7000000
925,asus intel core i5 10th gen windows 10 home 8 gb 15.6 8000000
926,asus intel core i3 10th gen windows 10 home 8 gb 15.6 7000000
927,asus intel core i5 10th gen windows 10 home 256 gb 8 15.6 9000000
928,asus intel core i5 11th gen windows 10 home 512 gb 8 14 14000000
929,msi intel core i3 10th gen windows 10 home 256 gb 8 14 7000000
930,hp intel core i3 11th gen windows 10 home 8 gb 15.6 8000000
931,msi intel core i3 10th gen windows 10 home 512 gb 8 14 9000000
932,msi intel core i7 11th gen windows 10 pro 1 tb 16 gb 15.6 29000000
933,dell intel core i5 11th gen windows 10 home 512 gb 8 14 13000000
934,dell intel core i3 11th gen windows 10 home 512 gb 4 14 11000000
935,dell intel core i5 11th gen windows 10 home 512 gb 8 13.3 22000000
936,lenovo windows 10 home 256 gb 8 15.6 11000000
937,dell intel core i5 8th gen windows 10 256 gb 8 15.6 10000000
938,hp intel core i3 11th gen windows 10 home 8 gb 15.6 7000000
939,vaio intel core i5 8th gen windows 10 home 512 gb 8 14 12000000
940,dell intel core i5 11th gen windows 10 home 512 gb 8 14.5 16000000
941,acer intel core i7 10th gen windows 10 home 2 tb 16 gb 15.6 30000000
942,lenovo windows 10 home 512 gb 8 15.6 14000000
943,lenovo intel core i5 10th gen windows 11 home 512 gb 8 15.6 9000000
944,acer intel core i5 10th gen windows 10 home 8 gb 15.6 8000000
945,asus intel core i3 11th gen windows 10 home 256 gb 4 14 8000000
946,asus intel core i5 11th gen windows 10 home 512 gb 8 14 11000000
947,vaio windows 10 home 512 gb 8 15.6 11000000
948,apple mac os big sur 512 gb 8 13.3 24000000
949,apple mac os big sur 256 gb 8 13.3 20000000
950,vaio windows 10 home 512 gb 8 15.6 9000000
951,apple mac os big sur 256 gb 8 13.3 16000000
952,vaio windows 10 home 512 gb 8 15.6 10000000
953,vaio windows 10 home 512 gb 8 15.6 9000000
954,apple mac os big sur 256 gb 8 13.3 16000000
955,apple mac os big sur 256 gb 8 13.3 20000000
956,apple mac os big sur 512 gb 8 13.3 20000000
957,apple mac os big sur 512 gb 8 13.3 24000000
958,lenovo windows 10 home 512 gb 8 14 10000000
959,acer windows 10 home 512 gb 8 15.6 9000000
960,acer windows 10 home 512 gb 8 15.6 9000000
961,acer intel core i7 11th gen windows 10 home 1 tb 16 gb 14 17000000
962,lenovo intel core i5 10th gen windows 10 home 512 gb 8 13.6 12000000
963,lenovo intel core i5 10th gen windows 10 home 512 gb 8 14 11000000
964,dell intel core i3 10th gen windows 10 home 8 gb 15.6 8000000
965,acer intel core i7 10th gen windows 10 home 2 tb 16 gb 15.6 28000000
966,lenovo intel core i7 10th gen windows 10 256 gb 8 15.6 18000000
967,dell intel core i5 10th gen ubuntu 512 gb 8 14 13000000
968,lenovo intel core i3 7th gen windows 10 home 4 gb 15.6 5000000
969,lenovo intel core i7 8th gen windows 10 pro 512 gb 16 14 46000000
970,lenovo intel core i7 9th gen windows 10 pro 1 tb 16 gb 15.6 51000000
971,hp intel core i5 10th gen windows 10 8 gb 15.6 9000000
972,lenovo intel core i5 8th gen dos 4 gb 14 9000000
973,asus intel core i5 10th gen windows 10 pro 512 gb 8 14 16000000
974,lenovo intel core i5 10th gen windows 10 home 256 gb 8 14 11000000
975,mi intel core i5 10th gen windows 10 home 512 gb 8 14 10000000
976,asus intel core i5 8th gen windows 10 home 512 gb 8 14 10000000
977,lenovo intel core i7 10th gen windows 10 home 1 tb 16 gb 14 27000000
978,lenovo intel core i7 10th gen windows 10 pro 512 gb 16 14 40000000
979,nokia intel core i5 10th gen windows 10 home 512 gb 8 14 10000000
980,hp intel core i7 10th gen windows 10 home 512 gb 16 13.3 45000000
981,hp windows 10 pro 512 gb 8 13.3 16000000
982,hp chrome 4 gb 14 5000000
983,lenovo intel core i3 10th gen windows 10 pro 4 gb 14 8000000
